ID,band_num,cohort,caught_as,caught,disappeared,fate,outside_area,fledged,independent,mum,Mage,dad_soc,Sage,dad_bio,Bage,sex,LRStot,LRSfledge,LRSinde
A30084-ynRG,01A-30084,2012,Nestling,2-Nov-12,5-Nov-12,Died,,0,0,982157-OAR,3,899575-wbMM,5,M00092-du092,1+,M,0,0,0
A30085-waAG,01A-30085,2012,Nestling,2-Nov-12,9-Nov-12,Died,,1,0,982639-MRM,2,982269-MwnB,2,982269-MwnB,2,F,0,0,0
A30086-waNN,01A-30086,2012,Nestling,2-Nov-12,9-Nov-12,Died,,1,0,982639-MRM,2,982269-MwnB,2,982269-MwnB,2,F,0,0,0
A30087-waOY,01A-30087,2012,Nestling,2-Nov-12,30-Aug-13,Unknown,,1,1,982639-MRM,2,982269-MwnB,2,982269-MwnB,2,F,0,0,0
A30088-waMR,01A-30088,2012,Nestling,5-Nov-12,12-Nov-12,Died,,1,0,982484-BryG,2,A30004-GAO,2,899972-rnWR,4,F,0,0,0
A30089-waYO,01A-30089,2012,Nestling,5-Nov-12,7-Jul-17,Died,6,1,1,982484-BryG,2,A30004-GAO,2,982045-BwgW,3,M,6,3,2
A30090-waMB,01A-30090,2012,Nestling,7-Nov-12,11-Nov-12,Died,,0,0,982595-OWR,2,982617-YBW,2,982726-rgWR,1,M,0,0,0
A30091-ngBY2,01A-30091,2012,Nestling,9-Nov-12,29-Nov-12,Died,,1,0,598298-WAM,2,982045-BwgW,3,982086-MraW,3,F,0,0,0
A30092-ngNW,01A-30092,2012,Nestling,9-Nov-12,18-Nov-12,Died,,1,0,598298-WAM,2,982045-BwgW,3,982086-MraW,3,F,0,0,0
A30093-ngOR,01A-30093,2012,Nestling,9-Nov-12,18-Nov-12,Died,,1,0,598298-WAM,2,982045-BwgW,3,982086-MraW,3,U,0,0,0
A30094-grAB,01A-30094,2012,Nestling,12-Nov-12,15-Mar-13,Unknown,,1,1,899809-GYG,5,982445-OawA,2,981983-WraN,3,M,0,0,0
