"","ID","cohort","fate","outside_area","fledged","independent","mum","Mage","dad_soc","Sage","dad_bio","Bage","sex","LRStot","LRSfledge","LRSinde","lifespan","lifespanM","lifespanB","lifespanS","MageM","BageM","SageM","MageREL","BageREL","SageREL","EP","Nest.ID.mother","Jincube","help.cat","incest","weight","weight.age","EPb","WPb","NestID","help.ep"
"4772","982465-AarM",2010,"Died",6,1,1,"982193-BBG",1,"899040-NbyR",5,"898795-RweY",5,"M",0,0,0,2,3,8,6,1.5,4.94117647058824,3.57142857142857,-0.5,0.0588235294117645,1.42857142857143,"yes","BBG_5321",0.590163934426229,"none","No",6.4,7,1,0,"BBG_5321",NA
"4773","982466-OarO2",2010,"Died",NA,1,0,"982193-BBG",1,"899040-NbyR",5,"899360-NrgN",4,"F",0,0,0,1,3,5,6,1.5,4,3.57142857142857,-0.5,0,1.42857142857143,"yes","BBG_5321",0.590163934426229,"none","No",7,7,1,0,"BBG_5321",NA
"4774","982467-GarN",2010,"Died",6,1,1,"982193-BBG",1,"899040-NbyR",5,"898795-RweY",5,"M",2,2,1,3,3,8,6,1.5,4.94117647058824,3.57142857142857,-0.5,0.0588235294117645,1.42857142857143,"yes","BBG_5321",0.590163934426229,"none","No",7.7,7,1,0,"BBG_5321",NA
"4775","982468-OngB",2010,"Died",NA,1,1,"982146-AonY",1,"899131-GwrG",5,"899131-GwrG",5,"F",0,0,0,1,4,9,9,2,5.85714285714286,5.56521739130435,-1,-0.857142857142857,-0.565217391304348,"no","AonY_5296",0.60655737704918,"none","No",8.4,8,0,1,"AonY_5296",NA
"4776","982470-WngA",2010,"Died",6,1,1,"982146-AonY",1,"899131-GwrG",5,"982003-NwbN",1,"M",0,0,0,1,4,2,9,2,1,5.56521739130435,-1,0,-0.565217391304348,"yes","AonY_5296",0.60655737704918,"none","No",7.1,8,1,0,"AonY_5296",NA
"4777","982474-AwnR",2010,"Died",NA,1,1,"981973-MNG",2,"899148-RanR",5,"899607-naWW2",3,"M",0,0,0,1,6,6,6,3.03030303030303,3.81818181818182,3.72727272727273,-1.03030303030303,-0.818181818181818,1.27272727272727,"yes","MNG_5395",0.601092896174863,"twoPlus","No",8.3,8,1,0,"MNG_5395",NA
"4778","982475-BawR",2010,"Died",NA,1,1,"898700-bgNG",6,"898592-weNG",6,"M00103-du103",6,"M",0,0,0,1,7,NA,9,4.08823529411765,6,4.47368421052632,1.91176470588235,0,1.52631578947368,"yes","bgNG_5325",0.601092896174863,"none","No",8.8,8,1,0,"bgNG_5325",NA
"4779","982476-NawN",2010,"Died",NA,1,1,"898700-bgNG",6,"898592-weNG",6,"M00103-du103",6,"M",0,0,0,1,7,NA,9,4.08823529411765,6,4.47368421052632,1.91176470588235,0,1.52631578947368,"yes","bgNG_5325",0.601092896174863,"none","No",9,8,1,0,"bgNG_5325",NA
"4780","982481-AnoB",2010,"Died",NA,0,0,"899799-naYO",3,"898765-BbyW",5,"898592-weNG",6,"F",0,0,0,1,3,9,6,2.4375,4.41025641025641,5,0.5625,1.58974358974359,0,"yes","naYO_5420",0.628415300546448,"none","No",6.3,6,1,0,"naYO_5420",NA
"4781","982482-NnoM",2010,"Died",NA,1,0,"899799-naYO",3,"898765-BbyW",5,"898593-weBO",6,"M",0,0,0,1,3,7,6,2.4375,4.5,5,0.5625,1.5,0,"yes","naYO_5420",0.628415300546448,"none","No",6.9,7,1,0,"naYO_5420",NA
"4782","982483-WnoR",2010,"Died",NA,1,0,"899799-naYO",3,"898765-BbyW",5,"898593-weBO",6,"F",0,0,0,1,3,7,6,2.4375,4.5,5,0.5625,1.5,0,"yes","naYO_5420",0.628415300546448,"none","No",7.5,7,1,0,"naYO_5420",NA
"4783","982484-BryG",2010,"Died",2,1,1,"899472-AybO",4,"899895-anOO",2,"899830-MAG",NA,"F",8,5,4,3,6,NA,3,3.22727272727273,NA,2,0.772727272727273,NA,0,"yes","AybO_5308",0.622950819672131,"none","No",7,8,1,0,"AybO_5308",NA
"4784","982486-RryB",2010,"Died",6,1,1,"899472-AybO",4,"899895-anOO",2,"899830-MAG",NA,"M",0,0,0,2,6,NA,3,3.22727272727273,NA,2,0.772727272727273,NA,0,"yes","AybO_5308",0.622950819672131,"none","No",8.5,8,1,0,"AybO_5308",NA
"4785","982487-GryW",2010,"Died",2,1,1,"982012-OonM",1,"982100-OwgO",1,"982100-OwgO",1,"F",3,3,2,4,4,2,2,1.57142857142857,1,1,-0.571428571428571,0,0,"no","OonM_5466",0.644808743169399,"none","No",6.8,7,0,1,"OonM_5466",NA
